stroke_team,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt
Invicta Ward Kent and Canterbury Hospital ,lvo,40.333333333333336,0.359504132231405,0.11570247933884298,0.6071428571428571,0.78099173553719,0.8095238095238095,0.9869281045751634,0.9271523178807947,1.0,0.5285714285714286,4.682009924786801,0.4312933069882802,3.3532228315005517,0.6884426609472466,3.0795934166438426,1.012489685686958,0.78099173553719,0.8835978835978836,1.0,0.9940119760479041,1.0,0.13253012048192772,4.776511052713872,0.5195506907738092,3.3824964174243264,0.7668901685966318,5.505782507565206,0.5253848832335154
Invicta Ward Kent and Canterbury Hospital ,nlvo,122.0,0.11748633879781421,0.01366120218579235,0.5,0.7527322404371585,0.6098003629764065,0.9761904761904762,0.8871951219512195,1.0,0.23711340206185566,4.7841969914420925,0.41360726736575204,3.524107897475813,0.7022519290264861,3.0889944397602926,1.082422461140902,0.7527322404371585,0.7604355716878403,0.9856801909307876,0.9806295399515739,0.9950617283950617,0.017369727047146403,4.983921949685474,0.5533632195046827,3.528633805742317,0.7262474079455596,5.127506507634713,0.7937743008356846
Invicta Ward Kent and Canterbury Hospital ,other,15.666666666666666,0.0,0.0,,0.7021276595744681,0.7878787878787878,0.9807692307692307,0.9215686274509803,1.0,0.0,4.716207698044782,0.4223996554923609,3.1625188477182586,0.954346410982482,,,0.7021276595744681,0.9090909090909091,0.9833333333333333,1.0,0.9830508474576272,0.0,4.8651936838845975,0.5519174908193029,3.2692956197624645,0.9410681817960216,,
Ipswich Hospital,lvo,97.83333333333333,0.27427597955706984,0.01192504258943782,1.0,0.7904599659284497,0.7068965517241379,0.9847560975609756,0.934984520123839,1.0,0.5298013245033113,4.482494884926553,0.5783538037475842,3.3814577929066316,0.632449642731296,3.6013354881553434,0.6305911991779608,0.7904599659284497,0.8297413793103449,0.9922077922077922,0.9685863874345549,0.9972972972972973,0.018970189701897018,4.675242040177327,0.7101925299885244,3.497298701569497,0.7383183040086854,5.3844554224431125,0.4784945890348902
Ipswich Hospital,nlvo,306.5,0.11256117455138662,0.002175095160413268,1.0,0.7346383904295813,0.5699481865284974,0.9272727272727272,0.8221288515406162,1.0,0.3441226575809199,4.63016724644812,0.5935029434734239,3.670942845197992,0.7426758625841615,3.5208062222537566,0.5374909171765379,0.7346383904295813,0.7202072538860104,0.9558067831449126,0.9075268817204301,0.9881516587677726,0.004796163069544364,4.879623933607309,0.7235415765328932,3.854016952539221,0.8593730416239377,5.4044152502128116,0.4348319410105899
Ipswich Hospital,other,72.83333333333333,0.0,0.0,,0.7437070938215103,0.7384615384615385,0.9375,0.9022222222222223,1.0,0.0,4.497780555390523,0.5777046645233092,3.4484101242394254,0.7195641325301138,,,0.7437070938215103,0.84,0.978021978021978,0.9550561797752809,0.996078431372549,0.0,4.654287203045993,0.6902559139615327,3.6172657867650924,0.8543481627687686,,
James Cook University Hospital,lvo,139.0,0.3009592326139089,0.049160671462829736,0.7804878048780488,0.9532374100719424,0.5006289308176101,0.9723618090452262,0.8837209302325582,1.0,0.6929824561403509,4.547288134860149,0.5668779555013729,3.297692171573888,0.8574044614897607,2.8323933248717603,0.8362907736365656,0.9532374100719424,0.6264150943396226,0.9899598393574297,0.9432048681541582,0.9870967741935484,0.08061002178649238,4.79713415648853,0.7165532212092521,3.506961874383038,0.9648563142566905,4.723546351502054,0.627662531261385
James Cook University Hospital,nlvo,415.3333333333333,0.1007223113964687,0.0008025682182985554,0.0,0.9309791332263242,0.3689655172413793,0.9264018691588785,0.7931904161412359,1.0,0.37201907790143085,4.651229113662518,0.5551952937844227,3.6769644737597638,0.9934254162990095,2.7658384014800275,0.7866973128187038,0.9309791332263242,0.49525862068965515,0.9669277632724108,0.8928892889288929,0.9868951612903226,0.0020429009193054137,4.948958992931241,0.7061201783874249,3.9024625695610746,1.098106767369422,5.686969610831371,1.3696244546137035
James Cook University Hospital,other,70.66666666666667,0.0,0.0,,0.9481132075471698,0.5572139303482587,0.9642857142857143,0.8796296296296297,1.0,0.0,4.592271504547169,0.567882017660702,3.4332168251658652,0.9903117004249646,,,0.9481132075471698,0.6691542288557214,0.9591078066914498,0.937984496124031,0.9710743801652892,0.0,4.798463280735327,0.6984070325327736,3.5826260752432315,1.0542459891771498,,
James Paget Hospital,lvo,89.66666666666667,0.2695167286245353,0.016728624535315983,0.5555555555555556,0.6394052044609665,0.7790697674418605,0.9850746268656716,0.9431818181818182,1.0,0.5301204819277109,4.53321985614217,0.597756112111526,3.1713970972162637,0.6854931881543903,3.5224358797698123,0.706834675693442,0.6394052044609665,0.8982558139534884,0.9870550161812298,0.9704918032786886,0.9966216216216216,0.02711864406779661,4.696838476148531,0.7000194760185343,3.264133215178816,0.7973145150613152,5.386208094200288,1.474624956547862
